name,start,end,birthplace,lat,lon
Manuel Blanco Encalada,1826,1827,Santiago,-33.4489,-70.6693
Ramón Freire,1827,1829,Santiago,-33.4489,-70.6693
Francisco Ramón de Vicuña,1829,1829,Santiago,-33.4489,-70.6693
José Tomás Ovalle,1830,1831,Santiago,-33.4489,-70.6693
José Joaquín Prieto,1831,1841,Concepción,-36.827,-73.0503
Manuel Bulnes,1841,1851,Concepción,-36.827,-73.0503
Manuel Montt,1851,1861,Petorca,-32.2533,-70.9325
José Joaquín Pérez,1861,1871,Santiago,-33.4489,-70.6693
Federico Errázuriz Zañartu,1871,1876,Santiago,-33.4489,-70.6693
Aníbal Pinto,1876,1881,Concepción,-36.827,-73.0503
Domingo Santa María,1881,1886,Santiago,-33.4489,-70.6693
José Manuel Balmaceda,1886,1891,Santiago,-33.4489,-70.6693
Jorge Montt,1891,1896,Casablanca,-33.3167,-71.3667
Federico Errázuriz Echaurren,1896,1901,Santiago,-33.4489,-70.6693
Germán Riesco,1901,1906,Rancagua,-34.1704,-70.7401
Pedro Montt,1906,1910,Santiago,-33.4489,-70.6693
Ramón Barros Luco,1910,1915,Santiago,-33.4489,-70.6693
Juan Luis Sanfuentes,1915,1920,Santiago,-33.4489,-70.6693
Arturo Alessandri,1920,1924,Longaví,-35.9633,-71.6833
Emiliano Figueroa,1925,1927,Santiago,-33.4489,-70.6693
Carlos Ibáñez del Campo,1927,1931,Temuco,-38.7359,-72.5904
Juan Esteban Montero,1931,1932,Santiago,-33.4489,-70.6693
Arturo Puga,1932,1932,Valparaíso,-33.0472,-71.6127
Carlos Dávila,1932,1932,Nacimiento,-37.4953,-72.6694
Bartolomé Blanche,1932,1932,La Serena,-29.9027,-71.252
Arturo Alessandri,1932,1938,Longaví,-35.9633,-71.6833
Pedro Aguirre Cerda,1938,1941,Punitaqui,-30.8414,-71.2482
Gabriel González Videla,1946,1952,La Serena,-29.9027,-71.252
Carlos Ibáñez del Campo,1952,1958,Temuco,-38.7359,-72.5904
Jorge Alessandri,1958,1964,Santiago,-33.4489,-70.6693
Eduardo Frei Montalva,1964,1970,Santiago,-33.4489,-70.6693
Salvador Allende,1970,1973,Santiago,-33.4489,-70.6693
Augusto Pinochet,1973,1990,Valparaíso,-33.0472,-71.6127
Patricio Aylwin,1990,1994,Viña del Mar,-33.0153,-71.55
Eduardo Frei Ruiz-Tagle,1994,2000,Santiago,-33.4489,-70.6693
Ricardo Lagos,2000,2006,Santiago,-33.4489,-70.6693
Michelle Bachelet,2006,2010,Santiago,-33.4489,-70.6693
Sebastián Piñera,2010,2014,Santiago,-33.4489,-70.6693
Michelle Bachelet,2014,2018,Santiago,-33.4489,-70.6693
Sebastián Piñera,2018,2022,Santiago,-33.4489,-70.6693
Gabriel Boric,2022,2026,Punta Arenas,-53.1548,-70.9113
